Film,Director,tmdbrating,overview,genre
Santa Teresa y otras historias,Nelson de los Santos Arias,5.857,"In the fictional city of Santa Teresa, located on the border between Mexico and USA, the researcher Juan de Dios Martínez straddles the line between journalism and detective work. Based on an unfinished book by Roberto Bolaño, his character investigates a handful of crimes and abuses perpetrated on women and workers of the zone.",Documentary
"Treintona, soltera y fantástica",Chava Cartas,7.1,A woman in her mid-30s breaks up with her boyfriend of seven years and goes on a journey of self-discovery.,Comedy
La vieja escuela,Alejandro Soltero,5.0,"Rodrigo Camarena, the successful CEO of a sports streaming company, invites his high school friends out of town for the weekend to participate in a video game tournament; the prize will reveal the participants' true intentions.",
El chico de Oklahoma,Julio Carlos Ramos Zapata,5.917,"McCord's gang robs the stage carrying money to pay Indians for their land, and the notorious outlaw ""The Oklahoma Kid"" Jim Kincaid takes the money from McCord. McCord stakes a ""sooner"" claim on land which is to be used for a new town; in exchange for giving it up, he gets control of gambling and saloons. When Kincaid's father runs for mayor, McCord incites a mob to lynch the old man whom McCord has already framed for murder.",Western
Panoramas,Rodrigo Guardiola  Gabriel Cruz Rivas,6.3,"The end of the Franco-Prussian war (1870-71) saw the birth of the panoramas of war, huge circular paintings depicting scenes of war, cruelty and desolation that were contemplated by thousands of spectators, a kind of inmersive static newsreels, a mass media prior to the era of mass media, a virtual reality on canvas.",Documentary
Bonsai,Alex Andonie,6.308,A young writer recounts an earlier romance in hopes of attracting his new love interest.,Drama
El salmón,Janett Juárez  Ricardo Martez,,,
Casi paraíso,Pablo Narezo,0.0,"Casi Paraíso is a film in which 8mm footage, collected photographs, magnetic tape recordings and filmed moments are combined to reflect on violence in Mexico nowadays. When the filmmaker's daughter is born and becomes the fifth generation of this film, he starts an inquiry into the past while he follows the events back home.",Documentary
La muñeca fea,Claudia López García  George Reyes,0.0,"A group of elderly sex workers in Mexico City try to find peace and security in Casa Xochiquetzal, a shelter named after the Aztec goddess of love, beauty and pleasure.",
Te prometo nunca regresar,Pepe Gutiérrez García,,,
El navegante de fin de semana (The Weekend Sailor),Bernardo Arsuaga,,,
En la periferia,Alberto Zúñiga Rodríguez,5.0,"The rock and roll at the State of Mexico comes alive with the participation of several dozen musical groups, ranging from small auditions in wastelands and warehouses to large productions with massive events, with five or ten thousand people. In this universe of rituals, symbols and codes, we approach the work of eight bands: Bostik, Tex tex, Liran'roll, Lvzbel, Rebel'd Punk, Follaje blues band, Transmetal, and Juan Hernandez and his blues band.",
El mural no es como lo pintan,Paula Calzada  Héctor Falcón Villa  Karol Yáñez,,,
La huésped,Pedro Pablo de Antuñano Padilla,5.0,"Genaro is a financial advisor bored with his family life. Then he meets Nina, a beautiful woman who changes his life for better or worse.",
Allá en la Costa Grande,Érick Rams,0.0,"The community of Zihuatanejo, Mexico is subjected symbolically to a process of introspection and catharsis through a temazcal bath. This results in an exploration of its almost unknown ancient past, which, in the voice of some of the most recognized members of the community, examines some of the most distinctive elements of its culture, but at the same time finds a particularly difficult relationship between rulers and ruled.",
El ombligo del cocoshle,David Antonio Martínez Pinacho,0.0,"Almost at the end of her life, María, an 88 year old woman, decides to come back from her exile to Villa Sola de la Vega, the land where she was born and where her belly button was buried. To make this trip, she has to overcome obstacles like her deteriorating health by means of her faith and spiritual strength.",
El tercer espacio,Nejemye Tenenbaum,0.0,"A hundred years after the establishment of the ""Monte Sinai"" Community in Mexico City, its history is relived through a number of compelling and touching stories.",
Bastidores,Anaïs Huerta  Carlos Mignon  Bruno Bancalari  Paulina del Paso  Raúl Cuesta  Rodrigo VVG  Carlos Muñoz  Juliana Gómez,0.0,Ten different filmmakers converse with ten different plastic artists about their work and creative processes.,
Hermanos,Laura Plancarte,7.167,"""Hermanos"" is the story of Juan and Mateo, two childhood friends whose older brothers are leaders of rival Latino street gangs. It's about the struggle to maintain a friendship while staying loyal to family in an unforgiving neighborhood.",Crime
Vidas con sabor,Pablo Gasca Gollás,,,
Las reglas de la ruina,Víctor Osuna,4.4,"Minerva, a single mother, works long hours a day to keep her ailing daughter in the hospital. One day, a mysterious man arrives at her door offering her to work in the translation of an ancient book in exchange for a substantial sum of money. Minerva accepts without knowing that this will change her life and that of those around her forever.",Horror
Nerdertal,Ricardo Gómez Villanueva,,,
Jondo,Alfredo Ruiz,0.0,"Juan, a Spanish painter exiled in Mexico, 95 years old, lives his last years of life clinging to what he loves most, his painting. Between memories of war, exile and the memory of years that have gone between his hands Juan continues thinking about the future, on creating and increasing his greatest legacy, his work.",
Poor People Relax Me,Miguel Ferráez  Clara Winter,0.0,"Clara wakes up in Mexico determined to turn the aesthetic abuse of the fewly privileged against the privileged few. Still, there’s something undeniably seductive about the euro-to-peso exchange rate and the promise of an easier life. But as life is growing easier, Clara realises her project is growing more complicated. Torn between self-reflection and self-mockery, her idea of the role of the artist begins to slip, and it becomes unclear whether her characters are willing participants or unknowing victims… To make things worse, her camera man starts to have his own opinions.",
Cuando la vida no vale nada El mural,Ricardo Arenas,0.0,A documentary film about mexican composer Jose Alfredo Jimenez and the mural painted by Octavio Ocampo.,
The Public Image is Rotten,Tabbert Fiiller,7.2,British rock icon John Lydon and fellow bandmates recall the years they spent performing as Public Image Ltd.,Documentary
Calypsonians,Anghelo Taylor  Damien Prouvost,0.0,"A couple of children from Portobelo Colón discover the musical genre “Calypso”. In an attempt to regain their identity, and despite the apathy of some towards their culture and roots, they begin rehearsing for the grand opening gala, where new generations of calypsonians will be presented.",Documentary
Tatami El lugar menos hostil,David Torres,0.0,A documentary film about the practice of Brazilian jiu-jitsu,
La leyenda del Charro Negro,Alberto Rodríguez,8.0,"After releasing the Chupacabras, Leo San Juan decides that it is time to return together with his brother Nando to his grandmother's house. Halfway down the road, Charro Negro manages to confuse Leo and because of him, an innocent girl is dragged into the underworld. Leo is forced to repair the damage. Your friends will come to try to help you and get out of there as soon as possible. But it is no coincidence that the Charro has chosen to involve Leo, his intentions go beyond getting a new soul.",Animation
Detrás de la máscara La película documental de Rayo de Plata,Anubis Alejandro López Martínez,0.0,A documentary film about mexican wrestler Rayo de Plata.,
